timestamp_ms,x,y,z
403170,0.8546875,0.0,9.808594
403180,0.8546875,-0.078125,9.808594
403190,0.8546875,-0.0390625,9.6875
403200,0.815625,-0.078125,9.84375
403210,0.815625,-0.0390625,9.808594
403220,0.8546875,-0.078125,9.8828125
403230,0.815625,-0.0390625,9.84375
403240,0.815625,-0.078125,9.84375
403250,0.8546875,-0.11328125,9.8828125
403260,0.815625,0.0,9.808594
403270,0.815625,-0.078125,9.808594
403280,0.815625,-0.11328125,9.8828125
403290,0.7765625,0.0,9.8046875
403300,0.8546875,-0.11328125,9.84375
403310,0.815625,-0.0390625,9.808594
403320,0.8546875,-0.11328125,9.925781
403330,0.7765625,-0.078125,9.847656
403340,0.8546875,-0.0390625,9.84375
403350,0.815625,-0.078125,9.84375
403360,0.7765625,-0.0390625,9.730469
403370,0.89375,-0.0390625,9.8046875
403380,0.815625,-0.0390625,9.84375
403390,0.815625,-0.078125,9.808594
403400,0.815625,-0.078125,9.84375
403410,0.815625,-0.0390625,9.769531
403420,0.89375,-0.078125,9.8046875
403430,0.8546875,-0.078125,9.808594
403440,0.8546875,-0.0390625,9.769531
403450,0.815625,-0.0390625,9.769531
403460,0.7765625,-0.078125,9.765625
403470,0.815625,-0.0390625,9.925781
403480,0.815625,0.0,9.7265625
403490,0.8546875,-0.0390625,9.769531
403500,0.8546875,-0.0390625,9.84375
403510,0.815625,-0.0390625,9.8828125
403520,0.89375,-0.078125,9.8046875
403530,0.815625,0.0,9.769531
403540,0.815625,-0.0390625,9.7265625
403550,0.8546875,-0.0390625,9.7265625
403560,0.815625,-0.0390625,9.7265625
403570,0.8546875,0.0,9.7265625
403580,0.8546875,-0.078125,9.769531
403590,0.815625,-0.11328125,9.84375
403600,0.89375,0.0,9.730469
403610,0.8546875,-0.078125,9.808594
403620,0.8546875,-0.0390625,9.808594
403630,0.89375,0.0,9.691406
403640,0.8546875,-0.11328125,9.84375
403650,0.815625,-0.0390625,9.769531
403660,0.815625,0.0,9.808594
403670,0.8546875,0.0,9.769531
403680,0.815625,-0.0390625,9.808594
403690,0.8546875,-0.078125,9.84375
403700,0.8546875,-0.078125,9.84375
403710,0.815625,-0.0390625,9.84375
403720,0.89375,0.0,9.765625
403730,0.815625,-0.078125,9.8828125
403740,0.815625,-0.0390625,9.769531
403750,0.8546875,-0.0390625,9.84375
403760,0.8546875,-0.11328125,9.84375
403770,0.8546875,-0.11328125,9.84375
403780,0.815625,-0.0390625,9.769531
403790,0.815625,0.0,9.6875
403800,0.8546875,0.0390625,9.769531
403810,0.8546875,-0.078125,9.808594
403820,0.89375,-0.0390625,9.730469
403830,0.815625,-0.0390625,9.769531
403840,0.8546875,0.0,9.7265625
403850,0.89375,-0.078125,9.8046875
403860,0.8546875,-0.078125,9.808594
403870,0.8546875,-0.0390625,9.769531
403880,0.8546875,-0.0390625,9.8828125
403890,0.8546875,-0.0390625,9.7265625
403900,0.8546875,-0.078125,9.808594
403910,0.8546875,-0.0390625,9.7265625
403920,0.8546875,-0.078125,9.769531
403930,0.8546875,0.0,9.7265625
403940,0.8546875,-0.0390625,9.808594
403950,0.815625,0.0,9.769531
403960,0.815625,-0.078125,9.925781
403970,0.8546875,-0.078125,9.808594
403980,0.8546875,-0.078125,9.84375
403990,0.815625,0.0390625,9.808594
404000,0.8546875,-0.078125,9.8828125
404010,0.8546875,-0.078125,9.8828125
404020,0.815625,-0.0390625,9.808594
404030,0.89375,-0.11328125,9.8046875
404040,0.8546875,-0.078125,9.84375
404060,0.89375,-0.0390625,9.765625
404070,0.815625,-0.0390625,9.769531
404080,0.7765625,0.0390625,9.730469
404090,0.815625,-0.078125,9.84375
404100,0.815625,-0.0390625,9.808594
404110,0.815625,0.0,9.7265625
404120,0.8546875,-0.11328125,9.8828125
404130,0.7765625,-0.0390625,9.921875
404140,0.815625,-0.078125,9.84375
404150,0.8546875,-0.078125,9.8828125
404160,0.7765625,0.0,9.886719
404170,0.7765625,-0.0390625,9.886719
404180,0.815625,-0.0390625,9.84375
404190,0.7765625,-0.078125,9.921875
404200,0.815625,-0.078125,9.8828125
404210,0.815625,-0.0390625,9.8828125
404220,0.8546875,-0.078125,9.8828125
404230,0.7765625,0.0,9.847656
404240,0.815625,-0.11328125,9.925781
404250,0.74140626,-0.0390625,9.8828125
404260,0.8546875,-0.0390625,9.808594
404270,0.7765625,-0.11328125,9.886719
404280,0.815625,0.0,9.769531
404290,0.8546875,-0.0390625,9.769531
404300,0.8546875,-0.0390625,9.808594
404310,0.7765625,-0.0390625,9.847656
404320,0.8546875,0.0,9.7265625
404330,0.8546875,-0.0390625,9.84375
404340,0.815625,-0.078125,9.84375
404350,0.8546875,-0.0390625,9.6875
404360,0.8546875,-0.078125,9.8828125
404370,0.8546875,0.0,9.808594
404380,0.89375,-0.078125,9.765625
404390,0.8546875,-0.078125,9.769531
404400,0.815625,0.0,9.769531
404410,0.815625,0.0,9.7265625
404420,0.815625,0.0,9.7265625
404430,0.8546875,-0.0390625,9.7265625
404440,0.8546875,0.0,9.652344
404450,0.8546875,-0.078125,9.769531
404460,0.89375,-0.078125,9.8046875
404470,0.8546875,0.0,9.6875
404480,0.8546875,-0.0390625,9.84375
404490,0.815625,-0.0390625,9.808594
404500,0.8546875,-0.0390625,9.769531
404510,0.8546875,0.0,9.84375
404520,0.8546875,0.0,9.808594
404530,0.89375,-0.0390625,9.765625
404540,0.89375,-0.078125,9.8046875
404550,0.815625,-0.078125,9.769531
404560,0.815625,-0.0390625,9.769531
404570,0.815625,-0.078125,9.84375
404580,0.8546875,-0.078125,9.84375
404590,0.8546875,0.078125,9.6875
404600,0.8546875,-0.11328125,9.8828125
404610,0.7765625,0.0,9.8046875
404620,0.8546875,0.0,9.769531
404630,0.7765625,-0.11328125,9.921875
404640,0.815625,0.0,9.769531
404650,0.815625,-0.078125,9.808594
404660,0.7765625,-0.11328125,9.886719
404670,0.7765625,-0.0390625,9.765625
404680,0.815625,-0.078125,9.8828125
404690,0.8546875,-0.078125,9.808594
404700,0.815625,-0.0390625,9.8828125
404710,0.815625,-0.0390625,9.84375
404720,0.815625,-0.078125,9.84375
404730,0.815625,-0.0390625,9.84375
404740,0.8546875,-0.078125,9.808594
404750,0.815625,-0.11328125,9.8828125
404760,0.815625,0.0,9.769531
404770,0.7765625,-0.078125,9.8046875
404780,0.89375,-0.0390625,9.8046875
404790,0.8546875,-0.0390625,9.808594
404800,0.8546875,0.0,9.769531
404810,0.815625,-0.0390625,9.808594
404820,0.89375,-0.078125,9.847656
404830,0.8546875,0.0,9.769531
404840,0.8546875,-0.0390625,9.8828125
404850,0.8546875,-0.0390625,9.769531
404860,0.815625,-0.078125,9.8828125
404870,0.815625,-0.078125,9.925781
404880,0.8546875,-0.078125,9.808594
404890,0.815625,-0.078125,9.808594
404900,0.7765625,-0.078125,9.886719
404910,0.815625,-0.0390625,9.925781
404920,0.7765625,0.0390625,9.886719
404930,0.815625,-0.0390625,9.769531
404940,0.815625,-0.078125,9.8828125
404950,0.815625,-0.0390625,9.84375
404960,0.8546875,-0.0390625,9.808594
404970,0.815625,-0.078125,9.8828125
404980,0.815625,-0.0390625,9.808594
404990,0.815625,0.0,9.7265625
405000,0.8546875,-0.0390625,9.808594
405010,0.8546875,-0.078125,9.84375
405020,0.8546875,-0.0390625,9.8828125
405030,0.815625,0.0,9.769531
405040,0.815625,-0.0390625,9.808594
405050,0.8546875,-0.0390625,9.84375
405060,0.8546875,-0.078125,9.808594
405070,0.815625,-0.0390625,9.808594
405080,0.8546875,-0.078125,9.84375
